Depth,Call Numerical,Call BS,Call error,Put Numerical,Put BS,Put error
2480,0.813999,0.814219,0.000221,3.710924,3.711144,0.000221
2490,0.814000,0.814219,0.000220,3.710925,3.711144,0.000220
2500,0.814001,0.814219,0.000219,3.710926,3.711144,0.000219
2510,0.814002,0.814219,0.000218,3.710926,3.711144,0.000218
2520,0.814002,0.814219,0.000217,3.710927,3.711144,0.000217
2530,0.814003,0.814219,0.000216,3.710928,3.711144,0.000216
2540,0.814004,0.814219,0.000215,3.710929,3.711144,0.000215
2550,0.814005,0.814219,0.000214,3.710930,3.711144,0.000214
2560,0.814006,0.814219,0.000214,3.710931,3.711144,0.000214
2570,0.814007,0.814219,0.000213,3.710932,3.711144,0.000213
2580,0.814008,0.814219,0.000212,3.710932,3.711144,0.000212
2590,0.814008,0.814219,0.000211,3.710933,3.711144,0.000211
2600,0.814009,0.814219,0.000210,3.710934,3.711144,0.000210
2610,0.814010,0.814219,0.000210,3.710935,3.711144,0.000210
2620,0.814011,0.814219,0.000209,3.710936,3.711144,0.000209
2630,0.814012,0.814219,0.000208,3.710936,3.711144,0.000208
2640,0.814012,0.814219,0.000207,3.710937,3.711144,0.000207
2650,0.814013,0.814219,0.000206,3.710938,3.711144,0.000206
2660,0.814014,0.814219,0.000206,3.710939,3.711144,0.000206
2670,0.814015,0.814219,0.000205,3.710940,3.711144,0.000205
2680,0.814015,0.814219,0.000204,3.710940,3.711144,0.000204
2690,0.814016,0.814219,0.000203,3.710941,3.711144,0.000203
2700,0.814017,0.814219,0.000203,3.710942,3.711144,0.000203
2710,0.814018,0.814219,0.000202,3.710943,3.711144,0.000202
2720,0.814018,0.814219,0.000201,3.710943,3.711144,0.000201
2730,0.814019,0.814219,0.000200,3.710944,3.711144,0.000200
2740,0.814020,0.814219,0.000200,3.710945,3.711144,0.000200
2750,0.814021,0.814219,0.000199,3.710945,3.711144,0.000199
2760,0.814021,0.814219,0.000198,3.710946,3.711144,0.000198
2770,0.814022,0.814219,0.000197,3.710947,3.711144,0.000197
2780,0.814023,0.814219,0.000197,3.710948,3.711144,0.000197
2790,0.814023,0.814219,0.000196,3.710948,3.711144,0.000196
2800,0.814024,0.814219,0.000195,3.710949,3.711144,0.000195
2810,0.814025,0.814219,0.000195,3.710950,3.711144,0.000195
2820,0.814026,0.814219,0.000194,3.710950,3.711144,0.000194
2830,0.814026,0.814219,0.000193,3.710951,3.711144,0.000193
2840,0.814027,0.814219,0.000193,3.710952,3.711144,0.000193
2850,0.814028,0.814219,0.000192,3.710952,3.711144,0.000192
2860,0.814028,0.814219,0.000191,3.710953,3.711144,0.000191
2870,0.814029,0.814219,0.000191,3.710954,3.711144,0.000191
2880,0.814030,0.814219,0.000190,3.710954,3.711144,0.000190
2890,0.814030,0.814219,0.000189,3.710955,3.711144,0.000189
2900,0.814031,0.814219,0.000189,3.710956,3.711144,0.000189
2910,0.814032,0.814219,0.000188,3.710956,3.711144,0.000188
2920,0.814032,0.814219,0.000187,3.710957,3.711144,0.000187
2930,0.814033,0.814219,0.000187,3.710958,3.711144,0.000187
2940,0.814033,0.814219,0.000186,3.710958,3.711144,0.000186
2950,0.814034,0.814219,0.000185,3.710959,3.711144,0.000185
2960,0.814035,0.814219,0.000185,3.710960,3.711144,0.000185
2970,0.814035,0.814219,0.000184,3.710960,3.711144,0.000184
2980,0.814036,0.814219,0.000184,3.710961,3.711144,0.000184
2990,0.814037,0.814219,0.000183,3.710961,3.711144,0.000183
3000,0.814037,0.814219,0.000182,3.710962,3.711144,0.000182
3010,0.814038,0.814219,0.000182,3.710963,3.711144,0.000182
3020,0.814038,0.814219,0.000181,3.710963,3.711144,0.000181
3030,0.814039,0.814219,0.000180,3.710964,3.711144,0.000180
3040,0.814040,0.814219,0.000180,3.710964,3.711144,0.000180
3050,0.814040,0.814219,0.000179,3.710965,3.711144,0.000179
3060,0.814041,0.814219,0.000179,3.710966,3.711144,0.000179
3070,0.814041,0.814219,0.000178,3.710966,3.711144,0.000178
3080,0.814042,0.814219,0.000178,3.710967,3.711144,0.000178
3090,0.814042,0.814219,0.000177,3.710967,3.711144,0.000177
3100,0.814043,0.814219,0.000176,3.710968,3.711144,0.000176
3110,0.814044,0.814219,0.000176,3.710969,3.711144,0.000176
3120,0.814044,0.814219,0.000175,3.710969,3.711144,0.000175
3130,0.814045,0.814219,0.000175,3.710970,3.711144,0.000175
3140,0.814045,0.814219,0.000174,3.710970,3.711144,0.000174
3150,0.814046,0.814219,0.000174,3.710971,3.711144,0.000174
3160,0.814046,0.814219,0.000173,3.710971,3.711144,0.000173
3170,0.814047,0.814219,0.000173,3.710972,3.711144,0.000173
3180,0.814048,0.814219,0.000172,3.710972,3.711144,0.000172
3190,0.814048,0.814219,0.000171,3.710973,3.711144,0.000171
3200,0.814049,0.814219,0.000171,3.710973,3.711144,0.000171
3210,0.814049,0.814219,0.000170,3.710974,3.711144,0.000170
3220,0.814050,0.814219,0.000170,3.710975,3.711144,0.000170
3230,0.814050,0.814219,0.000169,3.710975,3.711144,0.000169
3240,0.814051,0.814219,0.000169,3.710976,3.711144,0.000169
3250,0.814051,0.814219,0.000168,3.710976,3.711144,0.000168
3260,0.814052,0.814219,0.000168,3.710977,3.711144,0.000168
3270,0.814052,0.814219,0.000167,3.710977,3.711144,0.000167
3280,0.814053,0.814219,0.000167,3.710978,3.711144,0.000167
3290,0.814053,0.814219,0.000166,3.710978,3.711144,0.000166
3300,0.814054,0.814219,0.000166,3.710979,3.711144,0.000166
3310,0.814054,0.814219,0.000165,3.710979,3.711144,0.000165
3320,0.814055,0.814219,0.000165,3.710980,3.711144,0.000165
3330,0.814055,0.814219,0.000164,3.710980,3.711144,0.000164
3340,0.814056,0.814219,0.000164,3.710981,3.711144,0.000164
3350,0.814056,0.814219,0.000163,3.710981,3.711144,0.000163
3360,0.814057,0.814219,0.000163,3.710982,3.711144,0.000163
3370,0.814057,0.814219,0.000162,3.710982,3.711144,0.000162
3380,0.814058,0.814219,0.000162,3.710983,3.711144,0.000162
3390,0.814058,0.814219,0.000161,3.710983,3.711144,0.000161
3400,0.814059,0.814219,0.000161,3.710984,3.711144,0.000161
3410,0.814059,0.814219,0.000160,3.710984,3.711144,0.000160
3420,0.814060,0.814219,0.000160,3.710984,3.711144,0.000160
3430,0.814060,0.814219,0.000159,3.710985,3.711144,0.000159
3440,0.814061,0.814219,0.000159,3.710985,3.711144,0.000159
3450,0.814061,0.814219,0.000159,3.710986,3.711144,0.000159
3460,0.814061,0.814219,0.000158,3.710986,3.711144,0.000158
3470,0.814062,0.814219,0.000158,3.710987,3.711144,0.000158
